
"","987","","","","Ua-Pou","","","98757","","","","","","","","","","","-140.0667","-9.4","","","","","",""
"","987","","","","Uturoa","","","98758","","","","","","","","","","","-151.4431","-16.7294","","","","","",""
"","988","","","","Belep","","","98801","","","","","","","","","","","163.666667","-19.75","","","","","",""
"","988","","","","Bouloupari","","","98802","","","","","","","","","","","166.044181","-21.867153","","","","","",""
"","988","","","","Bourail","","","98803","","","","","","","","","","","165.49749","-21.568","","","","","",""
"","988","","","","Canala","","","98804","","","","","","","","","","","165.953094","-21.520322","","","","","",""
"","988","","","","Dumbéa","","","98805","","","","","","","","","","","166.438508","-22.177178","","","","","",""
"","988","","","","Farino","","","98806","","","","","","","","","","","165.765306","-21.668158","","","","","",""
"","988","","","","Hienghène","","","98807","","","","","","","","","","","164.922194","-20.694119","","","","","",""
"","988","","","","Houaïlou","","","98808","","","","","","","","","","","165.621703","-21.290939","","","","","",""
"","988","","","","L'Île des Pins","","","98809","","","","","","","","","","","167.483333","-22.616667","","","","","",""
"","988","","","","Kaala-Gomen","","","98810","","","","","","","","","","","164.382797","-20.672092","","","","","",""
"","988","","","","Koné","","","98811","","","","","","","","","","","164.851819","-21.059025","","","","","",""
"","988","","","","Koumac","","","98812","","","","","","","","","","","164.261903","-20.562058","","","","","",""
"","988","","","","La Foa","","","98813","","","","","","","","","","","165.818208","-21.7115","","","","","",""
"","988","","","","Lifou","","","98814","","","","","","","","","","","167.233333","-20.966667","","","","","",""
"","988","","","","Maré","","","98815","","","","","","","","","","","167.983333","-21.516667","","","","","",""
"","988","","","","Moindou","","","98816","","","","","","","","","","","165.678208","-21.697942","","","","","",""
"","988","","","","Le Mont-Dore","","","98817","","","","","","","","","","","166.523725","-22.229549","","","","","",""
"","988","","","","Nouméa","","","98818","","","","","","","","","","","166.458","-22.2758","","","","","",""
"","988","","","","Ouégoa","","","98819","","","","","","","","","","","164.432603","-20.350581","","","","","",""
"","988","","","","Ouvéa","","","98820","","","","","","","","","","","166.561944","-20.652222","","","","","",""
"","988","","","","Païta","","","98821","","","","","","","","","","","166.350494","-22.133711","","","","","",""
"","988","","","","Poindimié","","","98822","","","","","","","","","","","165.3293","-20.949611","","","","","",""
"","988","","","","Ponérihouen","","","98823","","","","","","","","","","","165.395997","-21.077231","","","","","",""
"","988","","","","Pouébo","","","98824","","","","","","","","","","","164.568892","-20.397469","","","","","",""
"","988","","","","Pouembout","","","98825","","","","","","","","","","","164.888306","-21.127889","","","","","",""
"","988","","","","Poum","","","98826","","","","","","","","","","","164.016908","-20.2415","","","","","",""
"","988","","","","Poya","","","98827","","","","","","","","","","","165.151","-21.348739","","","","","",""
"","988","","","","Sarraméa","","","98828","","","","","","","","","","","165.845992","-21.6412","","","","","",""
"","988","","","","Thio","","","98829","","","","","","","","","","","166.22","-21.62","","","","","",""
"","988","","","","Touho","","","98830","","","","","","","","","","","165.2303","-20.792","","","","","",""
"","988","","","","Voh","","","98831","","","","","","","","","","","164.688003","-20.959339","","","","","",""
"","988","","","","Yaté","","","98832","","","","","","","","","","","166.926606","-22.1676","","","","","",""
"","988","","","","Kouaoua","","","98833","","","","","","","","","","","165.817992","-21.398","","","","","",""
"","989","","","","Île de Clipperton","","","98901","","","","","","","","","","","-109.217","10.3","","","","","",""
